name,category,prompt,negative_prompt
Multi-Storey Car Park — Clear Daylight,Car parks,"multi-storey car park, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
International Race Circuit — Clear Daylight,Race tracks,"international race circuit, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Busy Professional Pit Lane — Clear Daylight,Pit lanes,"busy professional pit lane, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Performance Car Workshop — Clear Daylight,Workshops,"performance car workshop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Architectural Luxury Garage — Clear Daylight,Luxury garages,"architectural luxury garage, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern Shopping Centre Atrium — Clear Daylight,Shopping centres,"modern shopping centre atrium, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Bright Supermarket Aisle — Clear Daylight,Supermarkets,"bright supermarket aisle, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Contemporary Cafe Interior — Clear Daylight,Cafes,"contemporary cafe interior, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Classic Roadside Diner — Clear Daylight,Diners,"classic roadside diner, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern McDonald'S Restaurant Interior — Clear Daylight,McDonald's interiors,"modern McDonald's restaurant interior, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
McDonald'S Drive-Through Lane — Clear Daylight,McDonald's drive-through,"McDonald's drive-through lane, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Busy Fast-Food Car Park — Clear Daylight,Fast-food car parks,"busy fast-food car park, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Grand Hotel Lobby — Clear Daylight,Hotels,"grand hotel lobby, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
International Airport Terminal — Clear Daylight,Airports,"international airport terminal, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Major Train Station Concourse — Clear Daylight,Train stations,"major train station concourse, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern School Corridor — Clear Daylight,Schools,"modern school corridor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern Hospital Corridor — Clear Daylight,Hospitals,"modern hospital corridor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Vast Logistics Warehouse — Clear Daylight,Warehouses,"vast logistics warehouse, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
City Rooftop At Dusk — Clear Daylight,Rooftops,"city rooftop at dusk, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Towering Fantasy Castle — Clear Daylight,Fantasy castles,"towering fantasy castle, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Glowing Enchanted Forest — Clear Daylight,Enchanted forests,"glowing enchanted forest, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Floating Island Archipelago — Clear Daylight,Floating islands,"floating island archipelago, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Infinite Magical Library — Clear Daylight,Magical libraries,"infinite magical library, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Overgrown Ancient Ruins — Clear Daylight,Ancient ruins,"overgrown ancient ruins, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Ornate Gothic Mansion — Clear Daylight,Gothic mansions,"ornate gothic mansion, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Abandoned Haunted Hospital — Clear Daylight,Haunted hospitals,"abandoned haunted hospital, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rusted Abandoned Amusement Park — Clear Daylight,Abandoned amusement parks,"rusted abandoned amusement park, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Secret Underground Laboratory — Clear Daylight,Underground laboratories,"secret underground laboratory, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Foggy Old Graveyard — Clear Daylight,Foggy graveyards,"foggy old graveyard, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Impossible Cosmic Horizon — Clear Daylight,Cosmic environments,"impossible cosmic horizon, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Golden Open Plain — Clear Daylight,African savanna,"golden open plain, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Spinifex Plain — Clear Daylight,Australian outback,"spinifex plain, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Misty Rainforest Canopy — Clear Daylight,Rainforest,"misty rainforest canopy, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Vine-Covered Jungle Clearing — Clear Daylight,Jungle,"vine-covered jungle clearing, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rocky Desert Plateau — Clear Daylight,Desert,"rocky desert plateau, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Granite Mountain Pass — Clear Daylight,Mountains,"granite mountain pass, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Frozen Alpine Basin — Clear Daylight,Snowfields,"frozen alpine basin, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rocky River Crossing — Clear Daylight,Rivers,"rocky river crossing, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Hidden Jungle Waterfall — Clear Daylight,Waterfalls,"hidden jungle waterfall, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Reed-Filled Wetland — Clear Daylight,Wetlands,"reed-filled wetland, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rocky Coastal Cove — Clear Daylight,Beaches,"rocky coastal cove, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Shallow Reef Lagoon — Clear Daylight,Coral reefs,"shallow reef lagoon, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Stormy Offshore Waters — Clear Daylight,Open ocean,"stormy offshore waters, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Blue Underwater Cavern — Clear Daylight,Underwater caves,"blue underwater cavern, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Hydrothermal Vent Field — Clear Daylight,Deep-sea trenches,"hydrothermal vent field, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Submerged Cargo Hold — Clear Daylight,Shipwreck interiors,"submerged cargo hold, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Glass-Tower Plaza — Clear Daylight,Modern cities,"glass-tower plaza, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern Housing Estate — Clear Daylight,Suburbs,"modern housing estate, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rural Service Town — Clear Daylight,Country towns,"rural service town, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rural Roadside Petrol Station — Clear Daylight,Petrol stations,"rural roadside petrol station, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Truck Rest Area — Clear Daylight,Motorway rest stops,"truck rest area, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Open Shopping-Centre Car Park — Clear Daylight,Car parks,"open shopping-centre car park, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Club Racing Track — Clear Daylight,Race tracks,"club racing track, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Quiet Pit-Lane Garage Row — Clear Daylight,Pit lanes,"quiet pit-lane garage row, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Restoration Workshop — Clear Daylight,Workshops,"restoration workshop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Private Supercar Garage — Clear Daylight,Luxury garages,"private supercar garage, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Covered Retail Arcade — Clear Daylight,Shopping centres,"covered retail arcade, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Supermarket Checkout Area — Clear Daylight,Supermarkets,"supermarket checkout area, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Pavement Cafe Terrace — Clear Daylight,Cafes,"pavement cafe terrace, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Chrome-And-Vinyl Diner Interior — Clear Daylight,Diners,"chrome-and-vinyl diner interior, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Bright McDonald'S Ordering Area — Clear Daylight,McDonald's interiors,"bright McDonald's ordering area, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
McDonald'S Ordering Bay — Clear Daylight,McDonald's drive-through,"McDonald's ordering bay, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Late-Night Takeaway Car Park — Clear Daylight,Fast-food car parks,"late-night takeaway car park, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Modern Hotel Corridor — Clear Daylight,Hotels,"modern hotel corridor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Airport Departure Lounge — Clear Daylight,Airports,"airport departure lounge, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Country Railway Platform — Clear Daylight,Train stations,"country railway platform, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Empty Classroom — Clear Daylight,Schools,"empty classroom, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Hospital Reception Area — Clear Daylight,Hospitals,"hospital reception area, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Empty Industrial Warehouse — Clear Daylight,Warehouses,"empty industrial warehouse, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Industrial Rooftop — Clear Daylight,Rooftops,"industrial rooftop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Floating Crystal Castle — Clear Daylight,Fantasy castles,"floating crystal castle, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Ancient Magical Woodland — Clear Daylight,Enchanted forests,"ancient magical woodland, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Skyborne Waterfall Island — Clear Daylight,Floating islands,"skyborne waterfall island, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rune-Lit Archive — Clear Daylight,Magical libraries,"rune-lit archive, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Desert Temple Ruins — Clear Daylight,Ancient ruins,"desert temple ruins, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Decaying Manor Interior — Clear Daylight,Gothic mansions,"decaying manor interior, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Flickering Hospital Corridor — Clear Daylight,Haunted hospitals,"flickering hospital corridor, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Silent Carnival Midway — Clear Daylight,Abandoned amusement parks,"silent carnival midway, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Abandoned Research Bunker — Clear Daylight,Underground laboratories,"abandoned research bunker, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Mist-Covered Cemetery Hill — Clear Daylight,Foggy graveyards,"mist-covered cemetery hill, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Alien Nebula Landscape — Clear Daylight,Cosmic environments,"alien nebula landscape, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rocky Watering Hole — Clear Daylight,African savanna,"rocky watering hole, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Weathered Cattle Station — Clear Daylight,Australian outback,"weathered cattle station, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Fern-Lined Rainforest Creek — Clear Daylight,Rainforest,"fern-lined rainforest creek, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Humid Jungle Riverbank — Clear Daylight,Jungle,"humid jungle riverbank, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Salt-Flat Horizon — Clear Daylight,Desert,"salt-flat horizon, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Misty Mountain Valley — Clear Daylight,Mountains,"misty mountain valley, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Snow-Covered Forest Edge — Clear Daylight,Snowfields,"snow-covered forest edge, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Quiet Reed-Lined River — Clear Daylight,Rivers,"quiet reed-lined river, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Multi-Tier Mountain Falls — Clear Daylight,Waterfalls,"multi-tier mountain falls, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Mangrove Wetland Channel — Clear Daylight,Wetlands,"mangrove wetland channel, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Windswept Surf Beach — Clear Daylight,Beaches,"windswept surf beach, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Coral Wall Drop-Off — Clear Daylight,Coral reefs,"coral wall drop-off, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Calm Blue Horizon — Clear Daylight,Open ocean,"calm blue horizon, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Narrow Flooded Tunnel — Clear Daylight,Underwater caves,"narrow flooded tunnel, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Abyssal Canyon — Clear Daylight,Deep-sea trenches,"abyssal canyon, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Wrecked Bridge Interior — Clear Daylight,Shipwreck interiors,"wrecked bridge interior, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Neon-Lit Urban Intersection — Clear Daylight,Modern cities,"neon-lit urban intersection, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Tree-Lined Residential Block — Clear Daylight,Suburbs,"tree-lined residential block, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Historic Country Square — Clear Daylight,Country towns,"historic country square, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Late-Night Fuel Stop — Clear Daylight,Petrol stations,"late-night fuel stop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Highway Service Centre — Clear Daylight,Motorway rest stops,"highway service centre, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Underground Parking Garage — Clear Daylight,Car parks,"underground parking garage, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Mountain Road Circuit — Clear Daylight,Race tracks,"mountain road circuit, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rain-Soaked Pit Lane — Clear Daylight,Pit lanes,"rain-soaked pit lane, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Clean Mechanical Service Bay — Clear Daylight,Workshops,"clean mechanical service bay, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Glass-Walled Showroom Garage — Clear Daylight,Luxury garages,"glass-walled showroom garage, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Large Suburban Mall — Clear Daylight,Shopping centres,"large suburban mall, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Late-Night Grocery Store — Clear Daylight,Supermarkets,"late-night grocery store, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Small Neighbourhood Coffee Shop — Clear Daylight,Cafes,"small neighbourhood coffee shop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Late-Night Neon Diner — Clear Daylight,Diners,"late-night neon diner, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Contemporary McDonald'S Dining Room — Clear Daylight,McDonald's interiors,"contemporary McDonald's dining room, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
McDonald'S Collection Window — Clear Daylight,McDonald's drive-through,"McDonald's collection window, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Suburban Restaurant Parking Area — Clear Daylight,Fast-food car parks,"suburban restaurant parking area, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Boutique Hotel Room — Clear Daylight,Hotels,"boutique hotel room, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Airport Arrivals Hall — Clear Daylight,Airports,"airport arrivals hall, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Underground Station — Clear Daylight,Train stations,"underground station, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
School Courtyard — Clear Daylight,Schools,"school courtyard, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Quiet Clinical Ward — Clear Daylight,Hospitals,"quiet clinical ward, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
High-Bay Storage Aisle — Clear Daylight,Warehouses,"high-bay storage aisle, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Rainy High-Rise Rooftop — Clear Daylight,Rooftops,"rainy high-rise rooftop, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Ancient Mountain Fortress — Clear Daylight,Fantasy castles,"ancient mountain fortress, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Moonlit Fae Grove — Clear Daylight,Enchanted forests,"moonlit fae grove, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Ruined Floating Citadel — Clear Daylight,Floating islands,"ruined floating citadel, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Levitating Book Hall — Clear Daylight,Magical libraries,"levitating book hall, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Submerged Stone Ruins — Clear Daylight,Ancient ruins,"submerged stone ruins, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Moonlit Mansion Courtyard — Clear Daylight,Gothic mansions,"moonlit mansion courtyard, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Sealed Old Operating Theatre — Clear Daylight,Haunted hospitals,"sealed old operating theatre, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Overgrown Roller-Coaster Station — Clear Daylight,Abandoned amusement parks,"overgrown roller-coaster station, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
Sterile Subterranean Test Chamber — Clear Daylight,Underground laboratories,"sterile subterranean test chamber, clear daylight, coherent environmental detail and open staging space","people as main subject, specific vehicle as main subject, forced action, text, watermark, malformed architecture"
