index,name,prompt,negative_prompt,category,weight,favorite
13,Half Moon Pose,"Use Half Moon Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Half Moon Pose once after the outfit and hairstyle are established, then holds Half Moon Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
14,Revolved Half Moon Pose,"Use Revolved Half Moon Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Revolved Half Moon Pose once after the outfit and hairstyle are established, then holds Revolved Half Moon Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
15,Standing Forward Bend Pose,"Use Standing Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Standing Forward Bend Pose once after the outfit and hairstyle are established, then holds Standing Forward Bend Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
16,Standing Half Forward Bend Pose,"Use Standing Half Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Standing Half Forward Bend Pose once after the outfit and hairstyle are established, then holds Standing Half Forward Bend Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
17,Wide-Legged Forward Bend Pose,"Use Wide-Legged Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Wide-Legged Forward Bend Pose once after the outfit and hairstyle are established, then holds Wide-Legged Forward Bend Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
18,Pyramid Pose,"Use Pyramid Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Pyramid Pose once after the outfit and hairstyle are established, then holds Pyramid Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
19,Eagle Pose,"Use Eagle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Eagle Pose once after the outfit and hairstyle are established, then holds Eagle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
20,Dancer Pose,"Use Dancer Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Dancer Pose once after the outfit and hairstyle are established, then holds Dancer Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
21,Standing Hand-to-Big-Toe Pose,"Use Standing Hand-to-Big-Toe Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Standing Hand-to-Big-Toe Pose once after the outfit and hairstyle are established, then holds Standing Hand-to-Big-Toe Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
22,Garland Pose,"Use Garland Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Garland Pose once after the outfit and hairstyle are established, then holds Garland Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
23,High Lunge Pose,"Use High Lunge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into High Lunge Pose once after the outfit and hairstyle are established, then holds High Lunge Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
24,Low Lunge Pose,"Use Low Lunge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Low Lunge Pose once after the outfit and hairstyle are established, then holds Low Lunge Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
25,Crescent Lunge Pose,"Use Crescent Lunge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Crescent Lunge Pose once after the outfit and hairstyle are established, then holds Crescent Lunge Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
26,Lizard Pose,"Use Lizard Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Lizard Pose once after the outfit and hairstyle are established, then holds Lizard Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
27,Staff Pose,"Use Staff Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Staff Pose once after the outfit and hairstyle are established, then holds Staff Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
28,Easy Pose,"Use Easy Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Easy Pose once after the outfit and hairstyle are established, then holds Easy Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
29,Lotus Pose,"Use Lotus Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Lotus Pose once after the outfit and hairstyle are established, then holds Lotus Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
30,Half Lotus Pose,"Use Half Lotus Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Half Lotus Pose once after the outfit and hairstyle are established, then holds Half Lotus Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
31,Seated Forward Bend Pose,"Use Seated Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Seated Forward Bend Pose once after the outfit and hairstyle are established, then holds Seated Forward Bend Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
32,Wide-Angle Seated Forward Bend Pose,"Use Wide-Angle Seated Forward Bend Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Wide-Angle Seated Forward Bend Pose once after the outfit and hairstyle are established, then holds Wide-Angle Seated Forward Bend Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
33,Bound Angle Pose,"Use Bound Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Bound Angle Pose once after the outfit and hairstyle are established, then holds Bound Angle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
34,Hero Pose,"Use Hero Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Hero Pose once after the outfit and hairstyle are established, then holds Hero Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
35,Thunderbolt Pose,"Use Thunderbolt Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Thunderbolt Pose once after the outfit and hairstyle are established, then holds Thunderbolt Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
36,Cow Face Pose,"Use Cow Face Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Cow Face Pose once after the outfit and hairstyle are established, then holds Cow Face Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
37,Half Lord of the Fishes Pose,"Use Half Lord of the Fishes Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Half Lord of the Fishes Pose once after the outfit and hairstyle are established, then holds Half Lord of the Fishes Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
38,Boat Pose,"Use Boat Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Boat Pose once after the outfit and hairstyle are established, then holds Boat Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
39,Compass Pose,"Use Compass Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Compass Pose once after the outfit and hairstyle are established, then holds Compass Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
40,Fire Log Pose,"Use Fire Log Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Fire Log Pose once after the outfit and hairstyle are established, then holds Fire Log Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
41,Child's Pose,"Use Child's Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Child's Pose once after the outfit and hairstyle are established, then holds Child's Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
42,Rabbit Pose,"Use Rabbit Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Rabbit Pose once after the outfit and hairstyle are established, then holds Rabbit Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
43,Cat Pose,"Use Cat Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Cat Pose once after the outfit and hairstyle are established, then holds Cat Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
44,Cow Pose,"Use Cow Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Cow Pose once after the outfit and hairstyle are established, then holds Cow Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
45,Camel Pose,"Use Camel Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Camel Pose once after the outfit and hairstyle are established, then holds Camel Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
46,Puppy Pose,"Use Puppy Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Puppy Pose once after the outfit and hairstyle are established, then holds Puppy Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
47,Downward-Facing Dog Pose,"Use Downward-Facing Dog Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Downward-Facing Dog Pose once after the outfit and hairstyle are established, then holds Downward-Facing Dog Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
48,Three-Legged Downward-Facing Dog Pose,"Use Three-Legged Downward-Facing Dog Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Three-Legged Downward-Facing Dog Pose once after the outfit and hairstyle are established, then holds Three-Legged Downward-Facing Dog Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
49,Dolphin Pose,"Use Dolphin Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Dolphin Pose once after the outfit and hairstyle are established, then holds Dolphin Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
50,Plank Pose,"Use Plank Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Plank Pose once after the outfit and hairstyle are established, then holds Plank Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
51,Side Plank Pose,"Use Side Plank Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Side Plank Pose once after the outfit and hairstyle are established, then holds Side Plank Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
52,Forearm Plank Pose,"Use Forearm Plank Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Forearm Plank Pose once after the outfit and hairstyle are established, then holds Forearm Plank Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
53,Chaturanga Pose,"Use Chaturanga Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Chaturanga Pose once after the outfit and hairstyle are established, then holds Chaturanga Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
54,Cobra Pose,"Use Cobra Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Cobra Pose once after the outfit and hairstyle are established, then holds Cobra Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
55,Upward-Facing Dog Pose,"Use Upward-Facing Dog Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Upward-Facing Dog Pose once after the outfit and hairstyle are established, then holds Upward-Facing Dog Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
56,Locust Pose,"Use Locust Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Locust Pose once after the outfit and hairstyle are established, then holds Locust Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
57,Bow Pose,"Use Bow Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Bow Pose once after the outfit and hairstyle are established, then holds Bow Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
58,Sphinx Pose,"Use Sphinx Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Sphinx Pose once after the outfit and hairstyle are established, then holds Sphinx Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
59,Pigeon Pose,"Use Pigeon Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Pigeon Pose once after the outfit and hairstyle are established, then holds Pigeon Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
60,King Pigeon Pose,"Use King Pigeon Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into King Pigeon Pose once after the outfit and hairstyle are established, then holds King Pigeon Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
61,Frog Pose,"Use Frog Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Frog Pose once after the outfit and hairstyle are established, then holds Frog Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
62,Bridge Pose,"Use Bridge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Bridge Pose once after the outfit and hairstyle are established, then holds Bridge Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
63,Wheel Pose,"Use Wheel Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Wheel Pose once after the outfit and hairstyle are established, then holds Wheel Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
64,Happy Baby Pose,"Use Happy Baby Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Happy Baby Pose once after the outfit and hairstyle are established, then holds Happy Baby Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
65,Supine Twist Pose,"Use Supine Twist Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Supine Twist Pose once after the outfit and hairstyle are established, then holds Supine Twist Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
66,Reclining Bound Angle Pose,"Use Reclining Bound Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Reclining Bound Angle Pose once after the outfit and hairstyle are established, then holds Reclining Bound Angle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
67,Legs-Up-the-Wall Pose,"Use Legs-Up-the-Wall Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Legs-Up-the-Wall Pose once after the outfit and hairstyle are established, then holds Legs-Up-the-Wall Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
68,Corpse Pose,"Use Corpse Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Corpse Pose once after the outfit and hairstyle are established, then holds Corpse Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
69,Crow Pose,"Use Crow Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Crow Pose once after the outfit and hairstyle are established, then holds Crow Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
70,Crane Pose,"Use Crane Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Crane Pose once after the outfit and hairstyle are established, then holds Crane Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
71,Side Crow Pose,"Use Side Crow Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Side Crow Pose once after the outfit and hairstyle are established, then holds Side Crow Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
72,Firefly Pose,"Use Firefly Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Firefly Pose once after the outfit and hairstyle are established, then holds Firefly Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
73,Eight-Angle Pose,"Use Eight-Angle Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Eight-Angle Pose once after the outfit and hairstyle are established, then holds Eight-Angle Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
74,Peacock Pose,"Use Peacock Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Peacock Pose once after the outfit and hairstyle are established, then holds Peacock Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
75,Scale Pose,"Use Scale Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Scale Pose once after the outfit and hairstyle are established, then holds Scale Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
76,Shoulder Stand Pose,"Use Shoulder Stand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Shoulder Stand Pose once after the outfit and hairstyle are established, then holds Shoulder Stand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
77,Plow Pose,"Use Plow Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Plow Pose once after the outfit and hairstyle are established, then holds Plow Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
78,Headstand Pose,"Use Headstand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Headstand Pose once after the outfit and hairstyle are established, then holds Headstand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
79,Forearm Stand Pose,"Use Forearm Stand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Forearm Stand Pose once after the outfit and hairstyle are established, then holds Forearm Stand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
80,Handstand Pose,"Use Handstand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Handstand Pose once after the outfit and hairstyle are established, then holds Handstand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
81,Gate Pose,"Use Gate Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Gate Pose once after the outfit and hairstyle are established, then holds Gate Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
82,Sugarcane Pose,"Use Sugarcane Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Sugarcane Pose once after the outfit and hairstyle are established, then holds Sugarcane Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
83,Bird of Paradise Pose,"Use Bird of Paradise Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Bird of Paradise Pose once after the outfit and hairstyle are established, then holds Bird of Paradise Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
84,Standing Split Pose,"Use Standing Split Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Standing Split Pose once after the outfit and hairstyle are established, then holds Standing Split Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
85,Revolved Chair Pose,"Use Revolved Chair Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Revolved Chair Pose once after the outfit and hairstyle are established, then holds Revolved Chair Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
86,Revolved Head-to-Knee Pose,"Use Revolved Head-to-Knee Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Revolved Head-to-Knee Pose once after the outfit and hairstyle are established, then holds Revolved Head-to-Knee Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
87,Head-to-Knee Pose,"Use Head-to-Knee Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Head-to-Knee Pose once after the outfit and hairstyle are established, then holds Head-to-Knee Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
88,Heron Pose,"Use Heron Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Heron Pose once after the outfit and hairstyle are established, then holds Heron Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
89,Marichi's Pose,"Use Marichi's Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Marichi's Pose once after the outfit and hairstyle are established, then holds Marichi's Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
90,Noose Pose,"Use Noose Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Noose Pose once after the outfit and hairstyle are established, then holds Noose Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
91,Tortoise Pose,"Use Tortoise Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Tortoise Pose once after the outfit and hairstyle are established, then holds Tortoise Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
92,Upward Plank Pose,"Use Upward Plank Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Upward Plank Pose once after the outfit and hairstyle are established, then holds Upward Plank Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
93,Wild Thing Pose,"Use Wild Thing Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Wild Thing Pose once after the outfit and hairstyle are established, then holds Wild Thing Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
94,Fish Pose,"Use Fish Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Fish Pose once after the outfit and hairstyle are established, then holds Fish Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
95,Reclining Hero Pose,"Use Reclining Hero Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Reclining Hero Pose once after the outfit and hairstyle are established, then holds Reclining Hero Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
96,Reclining Hand-to-Big-Toe Pose,"Use Reclining Hand-to-Big-Toe Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Reclining Hand-to-Big-Toe Pose once after the outfit and hairstyle are established, then holds Reclining Hand-to-Big-Toe Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
97,Reclining Twist Pose,"Use Reclining Twist Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Reclining Twist Pose once after the outfit and hairstyle are established, then holds Reclining Twist Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
98,Supported Bridge Pose,"Use Supported Bridge Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Supported Bridge Pose once after the outfit and hairstyle are established, then holds Supported Bridge Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
99,Supported Shoulder Stand Pose,"Use Supported Shoulder Stand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Supported Shoulder Stand Pose once after the outfit and hairstyle are established, then holds Supported Shoulder Stand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
100,Tripod Headstand Pose,"Use Tripod Headstand Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Tripod Headstand Pose once after the outfit and hairstyle are established, then holds Tripod Headstand Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
101,Scorpion Pose,"Use Scorpion Pose as the one and only fixed yoga pose for <Subject 1>. <Subject 1> settles into Scorpion Pose once after the outfit and hairstyle are established, then holds Scorpion Pose completely unchanged throughout the full dressed orbit. Do not switch to any other pose.",,Yoga Pose,1,
