index,name,prompt,negative_prompt,category,weight,favorite
43,Cat Pose,Cat Pose,,Yoga Pose,1,
44,Cow Pose,Cow Pose,,Yoga Pose,1,
45,Camel Pose,Camel Pose,,Yoga Pose,1,
46,Puppy Pose,Puppy Pose,,Yoga Pose,1,
47,Downward-Facing Dog Pose,Downward-Facing Dog Pose,,Yoga Pose,1,
48,Three-Legged Downward-Facing Dog Pose,Three-Legged Downward-Facing Dog Pose,,Yoga Pose,1,
49,Dolphin Pose,Dolphin Pose,,Yoga Pose,1,
50,Plank Pose,Plank Pose,,Yoga Pose,1,
51,Side Plank Pose,Side Plank Pose,,Yoga Pose,1,
52,Forearm Plank Pose,Forearm Plank Pose,,Yoga Pose,1,
53,Chaturanga Pose,Chaturanga Pose,,Yoga Pose,1,
54,Cobra Pose,Cobra Pose,,Yoga Pose,1,
55,Upward-Facing Dog Pose,Upward-Facing Dog Pose,,Yoga Pose,1,
56,Locust Pose,Locust Pose,,Yoga Pose,1,
57,Bow Pose,Bow Pose,,Yoga Pose,1,
58,Sphinx Pose,Sphinx Pose,,Yoga Pose,1,
59,Pigeon Pose,Pigeon Pose,,Yoga Pose,1,
60,King Pigeon Pose,King Pigeon Pose,,Yoga Pose,1,
61,Frog Pose,Frog Pose,,Yoga Pose,1,
62,Bridge Pose,Bridge Pose,,Yoga Pose,1,
63,Wheel Pose,Wheel Pose,,Yoga Pose,1,
64,Happy Baby Pose,Happy Baby Pose,,Yoga Pose,1,
65,Supine Twist Pose,Supine Twist Pose,,Yoga Pose,1,
66,Reclining Bound Angle Pose,Reclining Bound Angle Pose,,Yoga Pose,1,
67,Legs-Up-the-Wall Pose,Legs-Up-the-Wall Pose,,Yoga Pose,1,
68,Corpse Pose,Corpse Pose,,Yoga Pose,1,
69,Crow Pose,Crow Pose,,Yoga Pose,1,
70,Crane Pose,Crane Pose,,Yoga Pose,1,
71,Side Crow Pose,Side Crow Pose,,Yoga Pose,1,
72,Firefly Pose,Firefly Pose,,Yoga Pose,1,
73,Eight-Angle Pose,Eight-Angle Pose,,Yoga Pose,1,
74,Peacock Pose,Peacock Pose,,Yoga Pose,1,
75,Scale Pose,Scale Pose,,Yoga Pose,1,
76,Shoulder Stand Pose,Shoulder Stand Pose,,Yoga Pose,1,
77,Plow Pose,Plow Pose,,Yoga Pose,1,
78,Headstand Pose,Headstand Pose,,Yoga Pose,1,
79,Forearm Stand Pose,Forearm Stand Pose,,Yoga Pose,1,
80,Handstand Pose,Handstand Pose,,Yoga Pose,1,
81,Gate Pose,Gate Pose,,Yoga Pose,1,
82,Sugarcane Pose,Sugarcane Pose,,Yoga Pose,1,
83,Bird of Paradise Pose,Bird of Paradise Pose,,Yoga Pose,1,
84,Standing Split Pose,Standing Split Pose,,Yoga Pose,1,
85,Revolved Chair Pose,Revolved Chair Pose,,Yoga Pose,1,
86,Revolved Head-to-Knee Pose,Revolved Head-to-Knee Pose,,Yoga Pose,1,
87,Head-to-Knee Pose,Head-to-Knee Pose,,Yoga Pose,1,
88,Heron Pose,Heron Pose,,Yoga Pose,1,
89,Marichi's Pose,Marichi's Pose,,Yoga Pose,1,
90,Noose Pose,Noose Pose,,Yoga Pose,1,
91,Tortoise Pose,Tortoise Pose,,Yoga Pose,1,
92,Upward Plank Pose,Upward Plank Pose,,Yoga Pose,1,
93,Wild Thing Pose,Wild Thing Pose,,Yoga Pose,1,
94,Fish Pose,Fish Pose,,Yoga Pose,1,
95,Reclining Hero Pose,Reclining Hero Pose,,Yoga Pose,1,
96,Reclining Hand-to-Big-Toe Pose,Reclining Hand-to-Big-Toe Pose,,Yoga Pose,1,
97,Reclining Twist Pose,Reclining Twist Pose,,Yoga Pose,1,
98,Supported Bridge Pose,Supported Bridge Pose,,Yoga Pose,1,
99,Supported Shoulder Stand Pose,Supported Shoulder Stand Pose,,Yoga Pose,1,
100,Tripod Headstand Pose,Tripod Headstand Pose,,Yoga Pose,1,
101,Scorpion Pose,Scorpion Pose,,Yoga Pose,1,
